source_pack,source_archive,mesh_name,mesh_hash,mesh_material_field_offset,serialized_material_pointer,mat_name,mat_hash,material_texture_field_offset,serialized_texture_pointer,tex_name,tex_hash,join_scope
CH_SPIDERMAN.PCPACK,_O0069.0xCFB154CD.T36.apkf,ch_spiderman000,0XAC92103D,0x000002E0,0x00000128,ch_spidermanblue,0X3EF08B55,0x00000024,0x00000884,ch_spiderman_webbingblue_dif,0X66CED7A4,SAME_ARCHIVE
MARYJANE_SCARERIDE.PCPACK,_O0082.0x4F920A48.T36.apkf,ch_spiderman000,0XAC92103D,0x000002E0,0x00000128,ch_spidermanblue,0X3EF08B55,0x00000024,0x00000E18,ch_spiderman_webbingblue_dif,0X66CED7A4,SAME_ARCHIVE
CH_SPIDERMAN.PCPACK,_O0069.0xCFB154CD.T36.apkf,ch_spiderman000,0XAC92103D,0x000002E0,0x00000128,ch_spidermanblue,0X3EF08B55,0x0000002C,0x00000730,ch_spiderman_webbing_spe,0X038C2751,SAME_ARCHIVE
MARYJANE_SCARERIDE.PCPACK,_O0082.0x4F920A48.T36.apkf,ch_spiderman000,0XAC92103D,0x000002E0,0x00000128,ch_spidermanblue,0X3EF08B55,0x0000002C,0x00000C1A,ch_spiderman_webbing_spe,0X038C2751,SAME_ARCHIVE
CH_SPIDERMAN.PCPACK,_O0069.0xCFB154CD.T36.apkf,ch_spiderman000,0XAC92103D,0x000002E0,0x00000128,ch_spidermanblue,0X3EF08B55,0x00000030,0x00000741,ch_spiderman_webbing_spx,0X038C2764,SAME_ARCHIVE
MARYJANE_SCARERIDE.PCPACK,_O0082.0x4F920A48.T36.apkf,ch_spiderman000,0XAC92103D,0x000002E0,0x00000128,ch_spidermanblue,0X3EF08B55,0x00000030,0x00000C2B,ch_spiderman_webbing_spx,0X038C2764,SAME_ARCHIVE
CH_SPIDERMAN.PCPACK,_O0069.0xCFB154CD.T36.apkf,ch_spiderman000,0XAC92103D,0x000002E0,0x00000128,ch_spidermanblue,0X3EF08B55,0x00000080,0x000008B7,ch_spiderman_tex1_nor,0X7D3A1FBC,SAME_ARCHIVE
MARYJANE_SCARERIDE.PCPACK,_O0082.0x4F920A48.T36.apkf,ch_spiderman000,0XAC92103D,0x000002E0,0x00000128,ch_spidermanblue,0X3EF08B55,0x00000080,0x00000EF5,ch_spiderman_tex1_nor,0X7D3A1FBC,SAME_ARCHIVE
CH_SPIDERMAN.PCPACK,_O0069.0xCFB154CD.T36.apkf,ch_spiderman000,0XAC92103D,0x000003D0,0x000002BC,ch_spidermanbackspider,0X654DD425,0x00000024,0x00000A3E,ch_spiderman_webbingred_dif,0X92AAC237,SAME_ARCHIVE
MARYJANE_SCARERIDE.PCPACK,_O0082.0x4F920A48.T36.apkf,ch_spiderman000,0XAC92103D,0x000003D0,0x000003F4,ch_spidermanbackspider,0X654DD425,0x00000024,0x00001038,ch_spiderman_webbingred_dif,0X92AAC237,SAME_ARCHIVE
CH_SPIDERMAN.PCPACK,_O0069.0xCFB154CD.T36.apkf,ch_spiderman000,0XAC92103D,0x000003D0,0x000002BC,ch_spidermanbackspider,0X654DD425,0x0000002C,0x00000730,ch_spiderman_webbing_spe,0X038C2751,SAME_ARCHIVE
MARYJANE_SCARERIDE.PCPACK,_O0082.0x4F920A48.T36.apkf,ch_spiderman000,0XAC92103D,0x000003D0,0x000003F4,ch_spidermanbackspider,0X654DD425,0x0000002C,0x00000C1A,ch_spiderman_webbing_spe,0X038C2751,SAME_ARCHIVE
CH_SPIDERMAN.PCPACK,_O0069.0xCFB154CD.T36.apkf,ch_spiderman000,0XAC92103D,0x000003D0,0x000002BC,ch_spidermanbackspider,0X654DD425,0x00000030,0x00000741,ch_spiderman_webbing_spx,0X038C2764,SAME_ARCHIVE
MARYJANE_SCARERIDE.PCPACK,_O0082.0x4F920A48.T36.apkf,ch_spiderman000,0XAC92103D,0x000003D0,0x000003F4,ch_spidermanbackspider,0X654DD425,0x00000030,0x00000C2B,ch_spiderman_webbing_spx,0X038C2764,SAME_ARCHIVE
CH_SPIDERMAN.PCPACK,_O0069.0xCFB154CD.T36.apkf,ch_spiderman000,0XAC92103D,0x000003D0,0x000002BC,ch_spidermanbackspider,0X654DD425,0x00000080,0x000008B7,ch_spiderman_tex1_nor,0X7D3A1FBC,SAME_ARCHIVE
MARYJANE_SCARERIDE.PCPACK,_O0082.0x4F920A48.T36.apkf,ch_spiderman000,0XAC92103D,0x000003D0,0x000003F4,ch_spidermanbackspider,0X654DD425,0x00000080,0x00000EF5,ch_spiderman_tex1_nor,0X7D3A1FBC,SAME_ARCHIVE
CH_SPIDERMAN.PCPACK,_O0069.0xCFB154CD.T36.apkf,ch_spiderman000,0XAC92103D,0x000004A0,0x00000614,ch_spidermanspider,0XE52A3DF4,0x00000024,0x000009C7,ch_spiderman_spider,0X8E661B33,SAME_ARCHIVE
MARYJANE_SCARERIDE.PCPACK,_O0082.0x4F920A48.T36.apkf,ch_spiderman000,0XAC92103D,0x000004A0,0x00000AF0,ch_spidermanspider,0XE52A3DF4,0x00000024,0x00001005,ch_spiderman_spider,0X8E661B33,SAME_ARCHIVE
